"Meslek","Şehir","Nitelikler"
"Gömülü Yazılım Mühendisi","İstanbul(Asya)(Pendik)","GENEL NİTELİKLER VE İŞ TANIMI  Üniversitelerin Elektrik-Elektronik Mühendisliği/ Bilgisayar Mühendisliği/ Matematik ve Fizik Mühendisliği bölümünden mezun,   -İyi seviye 'C/C++' programlama dili bilgisine sahip,  -MCU tabanlı tasarım ve uygulama konusunda deneyimli ve en az 3 proje tamamlamış,  -Versiyon kontrol sistemlerinden (SVN, GIT vb.) en az birini kullanabilen,  -Tercihen TCP/IP protokollerine hakim,  -Tercihen Switch ve/veya Router prensipleri ve protokollerine hakim,  -Tercihen L3 seviyesinde RFC’lere uygun network stack protokol kodu tecrübesi olan,  -Tercihen Embedded Linux Build Sistemleri ile proje yapmış,  -Tercihen Linux üzerinde uygulama geliştirme konusunda tecrübeli,  -Tercihen Linux BSP hazırlama, kernel seviyesinde yazılım geliştirme ve aygıt sürücü yazma konusunda tecrübeli,  -Öğrenme konusunda istekli ve gelişime açık, analitik düşünme ve problem çözme becerileri olan,  -Ekip çalışmasına yatkın,  -· Raporlama ve dokümantasyona önem veren,  -İngilizce bilen/yorumlayabilen (RFC/Std/Teknik Doküman vs.),  -Seyahat engeli bulunmayan,  -Erkek adaylar için askerlik görevini tamamlamış veya 2 yıl tecilli  Yukarıda belirtilen konularda 5 yıldan fazla tecrübesi olan ve referans gösterebilecek takım arkadaşları aramaktayız.  İŞ TANIMI  Şartname aşamasından, ürünün kabul testlerine ve ardından seri üretime kadar yeni ürün tasarımları ve üretimleri yaptığımız şirketimizde  · Sistem gereksinimleri çıkarılması,  · Tasarım dökümanlarının hazırlanması,  · Gömülü Yazılım geliştirilmesi,  · Tasarım testlerinin yapılması ,  · Kabul testleri ve üretim testlerinin yapılması,  · Sahada destek ihtiyaçlarının karşılanması,  Tüm tasarım süreçlerinde görev alacak adaylar aranmaktadır."
"Uygulama Destek Uzmanı/Dönemsel","İstanbul(Avr.)","GENEL NİTELİKLER VE İŞ TANIMI  Üniversitelerin Bilgisayar Mühendisliği, Bilgisayar Programcılığı veya ilgili bölümlerinden mezun, SQL veritabanı konusunda deneyim sahibi, ERP üzerinden gerekli SQL raporlarını oluşturabilecek, Daha önce SAP geçiş sürecinde görev almış,  Proje yönetimi konusunda tecrübeli, İletişim yeteneği güçlü, Stres yönetimi konusunda başarılı, İleri seviyede İngilizce bilgisine sahip, Avrupa Yakasında ikamet eden ya da edebilecek,  İŞ TANIMI  ERP’de kullanıcıların ve yöneticilerin ihtiyaç duyduğu raporlar için gerekli SQL sorgularını oluşturmak, Problem ve talepleri karşılamak, analiz etmek, uzaktan veya yerinde müdahale ederek çözüm üretmek, gereken durumlarda diğer destek gruplarına yönlendirmek, Problemlerin çözüm sürecinin takibinin yapılması ve sonlandırılması,"
"Araştırma Mühendisi - Yapay Zeka ve Bilişim Tekn.","Ankara","GENEL NİTELİKLER VE İŞ TANIMI  ASELSAN Araştırma Merkezi içerisinde yer alan Yapay Zekâ ve Bilişim Teknolojileri Araştırma Program Birimi tarafından yürütülen “Bilgisayarlı Görü”, “Pekiştirmeli Öğrenme”, “Büyük Veri” ve “Doğal Dil İşleme ve Metin Madenciliği” projelerinden birinde görevlendirilmek üzere Araştırma Mühendisi ihtiyacımız bulunmaktadır.     GENEL NİTELİKLER:  Üniversitelerin Elektrik - Elektronik Mühendisliği veya Bilgisayar Mühendisliği bölümlerinden mezun, Tercihen ilgili alanlardan birinde yüksek lisans ya da doktora derecesine sahip olan ve bu konularda uluslararası konferans ya da dergilerde yayınları bulunan,  İlgili alanlardan biri ile ilgili güncel akademik literatüre hakim, Esnek çalışma saatlerine ayak uydurabilecek, İletişim, sunum, zaman yönetimi ve raporlama becerilerine sahip, Akademik seviyede İngilizce konuşma, yazma ve anlama yetkinliği olan, Seyahat engeli bulunmayan, Linux tabanlı platformlarda çalışmaya alışkın olan, Tercihen güncel derin öğrenme kütüphanelerine hakim olan, (PyTorch, Tensorflow, NLTK, MALLET, sklearn gibi) ""Bilgisayarlı Görü"" ve ""Pekiştirmeli Öğrenme"" projeleri için nesne tabanlı programlama ve Python programlama dilini bilen, ""Doğan Dil İşleme ve Metin Madenciliği"" projeleri için Python, Java, R, Scala programlama dillerinden en az birine hakim olup, ""Büyük Veri"" projeleri için paralel programlama (MPI, OpenMP ve GPU) ve performans analizi, algoritma tasarımı ve karmaşıklık analizi deneyimine sahip olan.      GÖREV TANIMI:   Proje gereksinimleri doğrultusunda literatür araştırması yapmak ve uygun bir şekilde raporlamak, Literatürde bilinen teknikleri kodlamak, Projeye uygun veri kümeleri derlemek/oluşturmak, Projenin temel amacına uygun özgün öğretme algoritmaları tasarlamak, Özgün öğretme algoritmalarını kodlamak, veri kümeleri ile test etmek, Projenin tüm gelişmelerini uygun şekilde raporlamak, Özgün çıktıları akademik yayın ve/veya patent yolu ile belgelemek.      "
"Kıdemli Gömülü Yazılım Mühendisi","Ankara(Çankaya)","GENEL NİTELİKLER VE İŞ TANIMI    ·         Üniversitelerin Elektrik Elektronik Mühendisliği,Bilgisayar Mühendisliği  veya benzeri bölümlerinden mezun,   ·         Linux işletim sistemlerde (application ve driver geliştirme) deneyimli,  ·         Video Encoding ve Decoding konusunda bilgi sahibi,  ·         Yazılım geliştirme metodolojileri, yazılım mimarileri ve tasarım kalıpları konularında bilgi sahibi,  ·         Tercihen Python ve Java yazılım geliştirme dillerine hakim,  ·         Tercihen Web tabanlı uygulama geliştirme konusunda bilgili,   ·         Versiyon kontrol ve değişiklik yönetim yazılımları kullanma deneyimine sahip,  ·         İyi derecede İngilizce dil bilgisine sahip,   ·         Takım çalışmasına yatkın,   ·         Seyahat engeli bulunmayan,     İŞ TANIMI;     Yazılım Tasarım Müdürlüğü bünyesinde gömülü yazılım geliştirme faaliyetlerinde görev almak."
"Kıdemli Yazılım Mühendisi","İstanbul(Asya)","GENEL NİTELİKLER VE İŞ TANIMI  Teknolojik altyapısı, müşteri ihtiyaçlarını gözeterek oluşturduğu ürün yelpazesi ve müşteri merkezli hizmet anlayışı ile sektöründe ilklerin de öncüsü olarak ve dünyada 77.400 çalışanı ile faaliyet gösteren Sompo Sigorta, büyüyen ekibinde görev alacak “Kıdemli Yazılım Mühendisi” arıyor.     Üniversitelerin Bilgisayar Mühendisliği veya ilgili bölümlerinden mezun, En az 5 yıl .Net platformunda yazılım geliştirme tecrübesi olan, SOLID prensiplerini benimsemiş, OOP terminolojisi hakkında bilgi sahibi, .Net MVC5, Web API, .NET Core Web API konularında iyi derece bilgi sahibi, SOA ve microservice mimarileri hakkında bilgi sahibi,  ADO .NET, Entity Framework, Dapper gibi veritabanı araçlarını kullanmış, İyi decerede T-SQL bilgisine sahip, İyi derece HTML, CSS, Javascript ve jQuery bilgisine sahip, Tercihen NodeJs, Angular veya ReactJs teknolojilerinde bilgi sahibi, Etkin sözlü ve yazılı iletişim becerisine sahip,  Agile çalışma metodolojileri konusunda bilgi sahibi,  Takım çalışmasına yatkın, işi sahiplenen ve ürün yöneticisi ile birlikte sorumlu olduğu ürünlerin geliştirme sürecini devam ettirebilecek,  İngilizce bilen,  Erkek adaylar için askerlik hizmetini tamamlamış olmak.           İŞ TANIMI     Müşteri platformları biriminin sorumluluk alanları dahilinde geliştirilen projelerde gereken yazılım geliştirme süreçlerine dahil olunması,  Gelen talep analizlerinin incelenmesi ve geliştirme öncesi eksik noktaların tespiti ile yönlendirmesinin yapılmasına destek olunması, Sorumlu olduğu uygulamaların iyileştirilmesi, bakım ve desteğinin verilmesi, Geliştirilen uygulamalarda kod kalitesi, performans ve UI/UX konularına önem verilmesi, Unit testlerinin planlanması ve yapılması, Test sürecinde, test ekibine destek verilmesi, Monitoring araçları aracılığıyla, geliştirdiği uygulamaların production ortamındaki teknik sürecinin takip edilmesi ve gerekli müdahalelerin yapılması."
"Yazılım Uzmanı","İstanbul(Avr.)","GENEL NİTELİKLER VE İŞ TANIMI Yazılım projelerinin analiz, planlama, tasarım, kodlama ve test süreçlerinin tümünde aktif görev alacak, Proje geliştirme süreçlerinde fikir üretebilecek,  Erkek adaylar için askerliğini tamamlamış veya en az 2 yıl tecil ettirmiş,  Takım çalışmasına yatkın, analitik düşünen, Geliştirdiği parçaların birim testlerini gerçekleştirmek, Geliştirdiği parçaların dokümantasyonunu yapmak, Geliştirdiği parçaların bakım çalışmalarını sürdürmek, Gerektiğinde var olan ürünlerin kodları ve dokümanları üzerinde çalışmak, Yazılımı grup ile birlikte yapıyorsa grup içindeki görevini eksiksiz olarak yerine getirmek, tüm grup üyeleri ile etkileşim ve iş birliği içinde olmak,    İŞ TANIMI Üniversitelerin Bilgisayar Mühendisliği veya benzeri Mühendislik bölümlerinden mezun, Tercihen Yüksek Lisans sahibi. Microsoft ASP.NET MVC, C#, Entity Framework, XML, XSLT, JSON,Ajax, JQuery, Javascript, dağıtık ve çok katmanlı yazılım mimarileri konularında bilgi sahibi ve proje deneyimi olan, XML Web Services konularına hâkim,  Web tabanlı uygulama geliştirmede deneyimli, MS SQL Server ile T-SQL konularında tecrübeli, En az 5 yıl yazılım geliştirme deneyimi olan, Nesne yönelimli programlama (Object Oriented Programming) yaklaşımını benimsemiş, İlişkisel veritabanı tasarımı konusunda yetkin ve Microsoft SQL Server konusunda bilgi sahibi, Örnek uygulama ve proje referansı sunabilecek, Genel Merkezimizde değerlendirilmek üzere , Ar-Ge Merkezimizde görev alacak ""Yazılım Uzmanı"" arayışımız bulunmaktadır."
"Kıdemli Sql Server Veritabanı Yönetimi Uzmanı","İstanbul(Asya)(Ümraniye)","GENEL NİTELİKLER VE İŞ TANIMI  Bizimle kariyere katılmaya var mısın?  Biz Türkiye Finans ailesinde birlikte üretip başarmanın değerini biliyor, ortak değerlere dayanarak sürekli ilerliyoruz.Bilgi Sistemleri Direktörlüğümüze bağlı Teknoloji ve Altyapı Yönetimi Müdürlüğümüzde Bilgi Sistemleri Kıdemli SQL Server Veritabanı Yöneticisi olarak yerini almaya hazır mısın?       GENEL NİTELİKLER  . Üniversitelerin Bilgisayar Mühendisliği veya ilgili bölümlerinden mezun, . Microsoft SQL Server 2012/2014/2016/2017/2019 versiyonlarında deneyimli, . AlwaysOn, CDC, Mirroring, Replication, Clustering konularında tecrübeli, . MS SQL Analysis Services, Reporting Services ve SSIS konularında deneyimli, . Veritabanı bakımı, performans yönetimi, backup/restore konularında deneyimli, . Karmaşık sorgular optimizasyonunu yapabilecek şekilde, ileri derecede T-SQL bilgisi olan, . Tercihen büyük veritabanı sistemlerini yönetmiş, . Tercihen Oracle veritabanı hakkında bilgi ve deneyim sahibi olan, . Takım çalışmasına yatkın, analitik düşünme yeteneğine sahip, . Yazılı ve sözlü iletişim becerisi yüksek, . Problem çözümünde yaratıcı, proaktif ve analitik bakış açısı olan, . Teknolojiyi ve yenilikleri yakından takip eden, öğrenmeye ve gelişmeye açık, . İyi derecede İngilizce bilgisine sahip, . Erkek adaylar için, askerlik görevini tamamlamış.   İŞ TANIMI  . Veritabanı kurulum ve konfigürasyonlarının yapılması, . MS SQL 2012,MS SQL 2014, MS SQL 2016, MS SQL 2017, MS SQL 2019 veritabanı sistemlerinin yönetiminin sağlanması, . Veritabanı sistemlerinin performansının izlenmesi, düzenli olarak performans iyileştirilmeleri yapılması, . Veritabanı sistemlerinin güvenliği için gerekli çalışmaların yapılması, . Veritabanı sistemlerinin erişilebilirliğinin sağlanması, . Veri büyümelerinin sürekli takip edilmesi, kapasite planlamasının yapılması, . Veri tabanları ile ilgili standartların ve teknik dokümantasyonların hazırlanması ve güncel tutulması.   "
"Yazılım Mühendisi","Ankara(Çankaya)","GENEL NİTELİKLER VE İŞ TANIMI  ·         Üniversitelerin Bilgisayar Mühendisliği veya benzeri bölümlerinden mezun,  ·         Yazılım geliştirme metodolojileri, yazılım mimarileri ve tasarım kalıpları konularında bilgi sahibi,  ·         Python ve Java yazılım geliştirme dillerine hakim,  ·         Web tabanlı uygulama geliştirme konusunda bilgili,   ·         Flask, Django gibi frameworklerde tecrübeli,  ·         Veri tabanı mimarisi ve tasarımı konusunda bilgi sahibi,  ·         Versiyon kontrol ve değişiklik yönetim yazılımları kullanma deneyimine sahip,  ·         Tercihen Linux işletim sistemlerde deneyimli,  ·         İyi derecede İngilizce dil bilgisine sahip,   ·         Takım çalışmasına yatkın,   ·         Seyahat engeli bulunmayan,      İŞ TANIMI;  Yazılım Tasarım Müdürlüğü bünyesinde yazılım geliştirme faaliyetlerinde görev almak."
"Yazılım Geliştirme Uzmanı","İzmir(Bornova)","GENEL NİTELİKLER VE İŞ TANIMI İnsanlığın sürdürülebilir, ekonomik ve sağlıklı gıdaya erişimi için bilime dayalı teknoloji ve ürünleri piyasaya sunan Doktar hızla global büyümesini sürdürüyor.  Tarıma, ürün geliştirmeye, yeni teknolojilere ve yazılıma ilgi duyuyor, hızlı gelişen, eğlenceli ve kazançlı bir kariyer arıyorsanız başvurularınızı bekliyoruz.  İzmir Ege Üniversitesi'nde bulunan ofisimizde çalışmak üzere;  •  Bilgisayar Mühendisliği veya ilgili bölümlerden mezun, •  Yazılım geliştirme süreçleri hakkında bilgi sahibi, •  Microsoft teknolojileri hakkında bilgi sahibi, •  En az 2 yıl .NET platformunda yazılım geliştirme tecrübesi olan, •  Code First / DB First kavramları hakkında bilgi sahibi olan, Entity Framework kullanarak uygulama geliştirme tecrübesine sahibi, •  MSSQL veritabanı teknolojisiyle uygulama geliştirmiş, ilişkisel olmayan veritabanı teknolojileri hakkında bilgi sahibi, •  WCF, SOAP veya REST API hakkında bilgi sahibi ve tercihen proje deneyimi olan, •  HTML5, CSS, Javascript, JQuery, Angular gibi güncel frontend teknolojlerinde tecrübe  sahibi, •  TFS ve Git versiyon kontrol araçları ile takım ortamında çalışmış  çalışma arkadaşları arıyoruz   İŞ TANIMI  ·  Şirket hedef ve politikaları doğrultusunda yazılım projelerini geliştirmek ve uygulamak. ·  Şirket ihtiyaçları doğrultusunda projelendirilmiş yeni programları yazmak. ·  Mevcut yazılım programlarını geliştirmek. ·  Yazılımlar ile ilgili atanmış talep ve hata bildirimlerini sonuçlandırmak. "
"Mobil Yazılım Uzmanı","Ankara(Çankaya)","GENEL NİTELİKLER VE İŞ TANIMI  Kurum projelerinde çözümlerimizin yazılımlarının geliştirilmesinde, ilgili birimlerle koordineli olarak çalışabilecek, sorumluluk sahibi, iletişimi güçlü, takım ruhuna sahip, teknolojiyi ve yenilikleri takip eden, kendini geliştirebilen Full-stack yazılım geliştirmede çalışabilecek Mobil Yazılım Geliştirme Uzmanları arıyoruz.     Üniversitelerin Bilgisayar Mühendisliği veya Bilgi Teknolojileri ile ilgili diğer mühendislik bölümlerinden mezun, En az 2 yıl Android veya iOS geliştirme tecrübesi olan,    Web servis ve mobil uygulamaların implementasyonu konusunda deneyimli (SOAP,REST,JSON,XML),   Java  veya Objective-C, Swift bilgisi olan,    MVVM, MVC, MVP mimarilerinden en az birini kullanmış,    Kullanıcı Arayüzü ve Deneyimi (UI/UX) pratikleri hakkında bilgisi olan,    Eclipse veya Android Studio konularında deneyimli,    Mobil uygulama güvenliği konusunda deneyimli,    OOP konusunda bilgi ve deneyim sahibi,    Tercihen CBS alanında mobil yazılım geliştirme projesinde tecrübesi olan,    SVN, Git gibi versiyon kontrol araçları ile çalışmış,      Erkek adaylar için askerliğini yapmış veya en az 2 yıl tecilli olan,   Ankara'da ikamet eden veya edebilecek olan, Ekip Çalışmasına ve Esnek Çalışma saatlerine uyum sağlayabilecek. "
"Kıdemli Yazılım Uzmanı","Ankara","GENEL NİTELİKLER VE İŞ TANIMI  Üniversitelerin Bilgisayar Mühendisliği veya benzeri bölümlerinden mezun,  Yazılım projelerinde en az 5 yıl deneyimi olan,  Yazılım gereksinimlerinin belirlenmesi, tasarım, geliştirme ve altyapının teknolojik gelişmelere uyarlanması konusunda tecrübe sahibi,  Çok katmanlı uygulama geliştirme mimarilerinde tecrübeli,  C#, ASP.NET, MVC, .NET Core, .NET Teknolojileri, Client & server-side caching ve uygulama geliştirme konusunda tecrübe sahibi,  SOA mimarisi, web servisleri, WCF, REST API, SSL konusunda deneyimli,  ORM'ler (Entity Framework, Nhibernate, Linq vb.) hakkında deneyimli,  Continuous integration konularında deneyimli,  Scrum, Iterative/Incremental Development metodolojilerini kullanmış,  Tercihen açık kaynak veri tabanları (PostgreSQL, MySQL) ve Oracle kullanmış,  Analitik düşünme ve problem çözme yeteneğine sahip,  Planlama, organizasyon ve koordinasyon becerileri gelişmiş, insan ilişkilerinde başarılı,  Takım çalışmasına yatkın, sorumluluk sahibi, iletişim becerileri yüksek ve gelişmeye açık,  İyi derecede İngilizce bilen,  Yazılı ve sözlü iletişimi kuvvetli olan,  Erkek adaylar için askerlik görevini tamamlamış veya ilişiği olmayan       İŞ TANIMI:  -Yazılım geliştirme faaliyetlerini (tasarım, kodlama, test, dokümantasyon) gerçekleştirmek,  - Analiz çalışmalarında yer almak,   - Var olan ve/veya yeni hazırlanacak web uygulamalarını ASP.NET ve C# ile geliştirmek,  - Projelerin gereksinim duyabileceği farklı teknolojiler ile ilgili araştırma yaparak uygun çözümler geliştirmek,  - Açık kaynak veri tabanı (PostgreSQL, MySQL) üzerinde gerekli veri tabanlarını tasarlamak,   - Test sonucunda belirlenen hataları gidermek.   "
"Kıdemli Yazılım Geliştirme Uzmanı","İstanbul(Avr.)(Güngören)","GENEL NİTELİKLER VE İŞ TANIMI  Yazılım Uzmanı  Üniversitelerin Bilgisayar Mühendisliği bölümünden ya da yazılım ile ilişkili bir bölümünden mezun, Yazılımda masaüstü ve web programlama alanında 5+ yıllık tecrübeye sahip Microsoft.NET teknolojilerine hâkim (Windows Form, Asp.Net Form, Asp.Net MVC),  Standartlara uygun,güvenli ve performanslı kod geliştirebilen, Web Service ve Windows service ile çalışmış ve tecrübesi olan, MSSQL, T-SQL konularında deneyimli, CSS3, Boostrap, HTML5, Javascript, jQuery, teknolojilerine hâkim,  ASP.NET MVC ve Web API ile çalışmış, Nesne yönelimli (OOP) ve Servis yönelimli (SOA) programlama ve web uygulamaları konusunda deneyimli Programlama algoritması ve yeni yazılım teknolojileri konusunda bilgi sahibi Araştırmaya, keşfetmeye ve öğrenmeye hevesli Proje tecrübesi yüksek, proje yönetim metotlarına ve test süreçlerine hâkim İş disiplinine sahip ve zaman yönetimi konusunda başarılı Literatürü takip edebilecek seviyede İngilizce bilen İstanbul'da ikamet eden veya edebilecek olan  Erkek adaylar için askerliğini tamamlamış  İşin Tanımı  Yazılım geliştirme departmanının standartlarına uygun teknik dokümantasyon hazırlamak Başka uygulama geliştiricilerin kodlarını anlayabilme yeteneği olan Geliştirilen işlerin birim testini yapmak Mevcut uygulama ve yazılımların destek ve bakımını yapmak, müşterilerin ihtiyaçlarını çözümlemek. Uygulamaları standartlara uygun olarak geliştirmek Yeni uygulamaların mevcut yazılımlar ile entegrasyonunu sağlamak İhtiyaçları anlayarak web tarafında özel yazılım geliştirmeleri yapmak, İş disiplinine sahip ve zaman yönetimi konusunda başarılı TFS Deneyimi Olan,"
"Yazılım Mühendisi - Nesnelerin İnterneti","Ankara(Yenimahalle)","GENEL NİTELİKLER VE İŞ TANIMI  ASELSAN - UGES Sektör Başkanlığı tarafından geliştirilen Web tabanlı, nesnelerin interneti platformlarında yazılımlarının geliştirilmesinde görev alacak Yazılım Mühendisleri işe alınacaktır.      GEREKEN NİTELİKLERİ:  Bilgisayar Mühendisliği mezunu (yüksek lisans tercih sebebidir), En az 4 yıl çalışma tecrübesine sahip, Full stack yazılım geliştirmiş olmak(Ön yüz html, css, javascript, react, angular, vue vb frameworkler, arka yüz sprint boot (Java), node.js (Javascript) vb framework çalışmaları), RabbitMQ, KAFKA, MQTT veya benzeri broker mimarileri ile çalışmış, Tercihen mikroservis, docker, kubernetes ortamlarında çalışmış, Devops kavramlarına ve araçlarına hakkında bilgi sahibi (CI, CD, Jenkins, Ansible, Chef, Puppet, Terraform vb.), UML ile tasarım yapabilme ve yapılan tasarımı okuyabilmek, Çevik yazılım geliştirme süreçlerinde tecrübeli, Yazılım mimari tasarım desenlerine aşina, Ekip çalışmasına yatkın, eğitime ve öğrenmeye hazır, açık fikirli, innovatif, çözüm ve sonuç odaklı,  İleri seviye İngilizce bilgisi sahibi olmak.     GÖREV TANIMI:  Aselsan Yazılım Geliştirme Süreçlerine uygun olarak, Web tabanlı, nesnelerin interneti platformlarında yazılım yazılımlarının geliştirilmesi  Ekip arkadaşları ve yöneticisi ile koordineli çalışmak Zamanında görev teslimi yapmak Çözüm odaklı, iyileştirici ve araştırmacı bir ekip üyesi olarak proje ekibine destek vermek Gerektiğinde alt yüklenici firma ile koordine çalışmalar yapmak      "
"Kıdemli Yazılım Uzmanı","Ankara","GENEL NİTELİKLER VE İŞ TANIMI  Üniversitelerin Bilgisayar Mühendisliği veya benzeri bölümlerinden mezun, Yazılım projelerinde en az 5 yıl deneyimi olan, Yazılım gereksinimlerinin belirlenmesi, tasarım, geliştirme ve altyapının teknolojik gelişmelere uyarlanması konusunda tecrübe sahibi, Çok katmanlı uygulama geliştirme mimarilerinde tecrübeli, C#, ASP.NET, MVC, .NET Core, .NET Teknolojileri, client & server-side caching ve uygulama geliştirme konusunda tecrübe sahibi, SOA mimarisi, web servisleri, WCF, REST API, SSL konusunda deneyimli, ORM'ler (Entity Framework, Nhibernate, Linq vb.) hakkında deneyimli, MSSQL ve MySQL Veritabanlarında tecrübeli, Analitik düşünme ve problem çözme yeteneğine sahip, Planlama, organizasyon ve koordinasyon becerileri gelişmiş, insan ilişkilerinde başarılı, Takım çalışmasına yatkın, sorumluluk sahibi, iletişim becerileri yüksek ve gelişmeye açık, İyi derecede İngilizce bilen, Yazılı ve sözlü iletişimi kuvvetli olan, Erkek adaylar için askerlik görevini tamamlamış veya ilişiği olmayan      İş Tanımı:  -Yazılım geliştirme faaliyetlerini (tasarım, kodlama, test, dokümantasyon) gerçekleştirmek ve analiz çalışmalarında yer almak, - Var olan ve/veya yeni hazırlanacak web uygulamalarını geliştirmek, - Projelerin gereksinim duyabileceği farklı teknolojiler ile ilgili araştırma yaparak uygun çözümler geliştirmek, - Veritabanları üzerinde gerekli tasarımları yapmak, - Yazılımların Testleri sonucunda belirlenen hataları gidermek. "
"Sr. IOS Developer","İstanbul(Avr.)(Kağıthane)","GENEL NİTELİKLER VE İŞ TANIMI  Dinamik ve hızlı büyüyen firmamız bünyesinde yürüttüğümüz yazılım projelerimizde görev alacak yetenekli, tutkulu ve çevik iOS Developer takım arkadaşları arıyoruz.   Genel Nitelikler  Üniversitelerin Bilgisayar Mühendisliği veya benzer bölümlerinden mezun,  En az 2 yıl Swift ile uygulama geliştirip, Objective-C tecrübesine de sahip, Tercihen React Native ile uygulama geliştirme tecrübesine sahip, Git veya diğer sürüm kontrol sistemleriyle çalışmış, Katmanlı yazılım mimarisi ve MVC/MVVM konularında bilgi sahibi, HTTP, JSON teknolojileri ve RESTful API Web servis yapıları konularında bilgi sahibi, Tercihen mobil ödeme deneyimi olan, iOS'un farklı versiyonlarının desteklediği özellikler konusunda bilgi sahibi ve buna göre geliştirme yapabilen, Kod kalitesine ve dokümantasyonuna önem veren  Object oriented programlama konusuna hakim ve servis tabanlı uygulama geliştirebilen, Yeni teknolojileri araştıran, hızla uygulamaya geçirebilen, Öğrenmeye açık ve kendini geliştirmeye istekli, İletişimi güçlü ve takım çalışmasına yatkın, Analitik problem çözme becerisine sahip, Erkek adaylar için askerliğini tamamlamış veya en az 2 yıl tecilli olmak.  İş Tanımı  Mobil Yazılım Departmanı bünyesinde yürütülecek projelerde aktif olarak görev almak.  Müşteri ihtiyaçları doğrultusunda projelendirilmiş yeni mobil uygulamalar geliştirmek.  Değişen ve gelişen iş ihtiyaçlarına göre ihtiyaç/problem/iyileştirme tespiti yaparak, müşterilerimizin mevcut mobil uygulamalarını geliştirmek. "
"Sr. Android Developer","İstanbul(Avr.)","GENEL NİTELİKLER VE İŞ TANIMI  Dinamik ve hızlı büyüyen firmamız bünyesinde yürüttüğümüz yazılım projelerimizde görev alacak yetenekli, tutkulu ve çevik Android Developer takım arkadaşları arıyoruz.   Genel Nitelikler  Üniversitelerin Bilgisayar Mühendisliği veya benzer bölümlerinden mezun,  En az 2 yıl Android uygulama geliştirme tecrübesi olan,  Kotlin ve Java programlama dillerine hakim,  Tercihen Databinding, MVC/MVVM/MVI konularında bilgi sahibi, REST, JSON konularında bilgi ve tecrübe sahibi, Güncel 3rd parti geliştirme kütüphaneleri hakkında bilgi sahibi,  Google Play Store‘a uygulama yayınlama konusunda tecrübeli,  Git veya diğer sürüm kontrol sistemleriyle çalışmış,  Android SDK ve Support Kütüphaneleri konusunda tecrübeli,  Kullanıcı Deneyimi ve Material Design hakkında bilgi sahibi,  Android UI geliştirme konusunda deneyimli, Tercihen mobil ödeme deneyimi olan, Yeni teknolojileri araştıran, hızla uygulamaya geçirebilen,  Öğrenmeye açık ve kendini geliştirmeye istekli,  İletişimi güçlü ve takım çalışmasına yatkın,  Analitik problem çözme becerisine sahip,  Erkek adaylar için askerliğini tamamlamış veya en az 2 yıl tecilli olmak.   İş Tanımı  Mobil Yazılım Departmanı bünyesinde yürütülecek projelerde aktif olarak görev almak.  Müşteri ihtiyaçları doğrultusunda projelendirilmiş yeni mobil uygulamalar geliştirmek.  Değişen ve gelişen iş ihtiyaçlarına göre ihtiyaç/problem/iyileştirme tespiti yaparak, müşterilerimizin mevcut mobil uygulamalarını geliştirmek. "
"Gömülü Yazılım Mühendisi","İstanbul(Avr.)(Şişli)","GENEL NİTELİKLER VE İŞ TANIMI  ZY Elektrikli Traktör Sanayi ve Ticaret A.Ş. ülkemizin ilk yerli ve milli traktörünü üretmek üzere 2019 yılında Ziraat GSYO ortaklığı ile kurulmuştur.  “Dünyanın geleceğinde rol oynayan elektrikli araç sanayinin Türkiye tarafında bir oyuncusu olmak” vizyonundan hareketle yola çıkan şirketimizde teknoloji ve üretim çalışmalarımız mevcuttur. Teknoloji çalışmalarımızı yürüten   Tasarım, AR-GE ve Teknoloji ekibimizin büyüyen organizasyonunda görevlendirilmek üzere   GÖMÜLÜ YAZILIM TASARIM MÜHENDİSİ aramaktayız.     Genel nitelikler  Üniversitelerin Elektrik-Elektronik veya Bilgisayar Mühendisliği bölümlerinden mezun, C/C++ programlama dillerinde en az 3 yıl yazılım geliştirme deneyimine sahip, Tercihen yüksek performanslı yazılım geliştirme konusunda bilgi sahibi olan, MS Office programlarını ileri seviyede kullanabilen, Alanı ile ilgili teknolojik gelişmeleri sürekli takip eden, Sorumluluk sahibi ve sonuç odaklı, Yüksek seviyede analitik düşünme yeteneğine sahip, İletişim yeteneği kuvvetli, Başarılı bir takım üyesi olduğuna inanan, İyi derecede İngilizce bilen, Seyahat engeli olmayan, Erkek adaylar için askerlikle ilişiği olmayan     İş Tanımı  Elektrikli araç projelerimizde; kavramsal tasarımdan başlayarak ürünün onay testleri ve müşteri teslimine kadar geçen tüm süreçlerindeki yazılım geliştirme aşamalarının tamamının gerçekleştirilmesi, Teknik dokümantasyon çalışmalarının yapılması."
