"Meslek","Şehir","Nitelikler"
"Javascript Geliştirici","İstanbul"," "
"BT Güvenlik Uzmanı","İstanbul","Bilgi Güvenliği Yönetimi konularında tercihen 4 yıl tecrübeli, Web uygulamaları ve sistem altyapısı güvenliği konularına hakim, ISO 27001, COBIT konularında bilgili, IPS, Database Activity Monitoring, Vulnerability Scanning, SIEM ve Password Management ürünleri yönetiminde tecrübe sahibi, İyi düzeyde İngilizce bilen, Tercihen CISSP, CEH veya OSCP sertifika sahibi, Erkek adaylar için askerlik hizmetini tamamlamış.     İŞ TANIMI   Bilgi Teknolojileri Güvenliği yönetim sisteminin işletilmesinde görev almak,  Sistem güvenlik prosedürlerinin oluşturulması ve iyileştirilmesi,  Sistem loglarının izlenmesi ve analizi, güvenlik denetimi, zafiyet analizlerinin yapılması,  "
"Endüstriyel Otomasyon - Mekatronik Öğretmeni","Bursa","Bursa'da bir ilk olan Özel Mesafe Teknoloji Lisemizde görev almak üzere;  Üniversitelerin,  Mekatronik Öğretmenliği, Kontrol Öğretmenliği   bölümlerinden mezun ya da,  Mekatronik Mühendisliği , Kontrol ve Otomasyon Mühendisliği, Kontrol Mühendisliği , Kontrol ve Bilgisayar Mühendisliği bölümlerinden mezun olup alanında yüksek lisans yapmış ya da formasyon almış olan  Eğitim projelerini araştıran, bilimsel gelişmelere açık,  Dinamik çalışma ortamında çalışmak isteyen,  Kendini geliştirmeyi seven, sorumluluk sahibi,  Etkili yazılı ve sözlü iletişim becerisine sahip, diksiyonu düzgün,  Öğrencilerinin gelişime açık yönlerini tespit edip yön veren,  "
"Proje Yazılım Uzmanı","İstanbul"," "
"Proje Uygulama Danışmanı","İstanbul"," "
"İş Analisti","İstanbul"," "
"Yazılım Uzmanı","İstanbul","Web tabanlı yazılım geliştirme projelerinde minimum 4-5 yıl tecrübeli, Net teknolojileri (c#, ASP.Net WebForms & MVC ) konusunda bilgi sahibi, Dağıtık uygulama mimarisinde tecrübe sahibi,  WCF, Web Services, Rest Api konularına hakim, MSSQL Server veritabanında deneyimli, Analitik düşünme ve problem çözme yeteneğine sahip, Yabancı dil olarak ingilizce bilen, Çözüm odaklı, inisiyatif alabilen, sorumluluk sahibi, Literatürü takip edecek düzeyde İngilizce bilen,       Erkek adaylar için askerlik hizmetini tamamlamış, Avrupa yakasında ikamet eden,  “Yazılım Uzmanı” aranmaktadır.     İş Tanımı  WCF, Web Services ve Rest Api servislerinin geliştirme, iyileştirme ve entegrasyonunu yapmak.  "
"Java Yazılım Uzmanı","İstanbul","Üniversitelerin Bilgisayar, Yazılım Mühendisliği bölümlerinden mezun,  Tercihen Restoran Sektöründe yazılım geliştirme yapmış,  Java ile uygulama geliştirme alanında en az 4 yıl deneyimli,  Spring/Spring Boot ve JPA/Hibernate teknolojileriyle uygulama geliştirme konusunda tecrübeli,  Web Servisler, RESTful,Ajax,Jquery,JSON konularında tercrübeli,  HTML5, CSS3 ile uygulama geliştirme konusunda tecrübeli,  Erkek adaylar için askerliğini yapmış olmak,  En az bir orta/büyük ölçekli Java projesinde yazılım mimarisi/geliştirme rolünde görev almış,  MS SQL Server,MySQL veritabanlarında tecrübeli,  Analitik düşünme ve problem çözme yeteneği kuvvetli,  "
"Bilgi Teknolojileri / IT Uzmanı"," "," "
"İş Analisti","İstanbul"," "
"Yazılım Uzmanı","İstanbul","Web tabanlı yazılım geliştirme projelerinde minimum 4-5 yıl tecrübeli, Net teknolojileri (c#, ASP.Net WebForms & MVC ) konusunda bilgi sahibi, Dağıtık uygulama mimarisinde tecrübe sahibi,  WCF, Web Services, Rest Api konularına hakim, MSSQL Server veritabanında deneyimli, Analitik düşünme ve problem çözme yeteneğine sahip, Yabancı dil olarak ingilizce bilen, Çözüm odaklı, inisiyatif alabilen, sorumluluk sahibi, Literatürü takip edecek düzeyde İngilizce bilen,       Erkek adaylar için askerlik hizmetini tamamlamış, Avrupa yakasında ikamet eden,  “Yazılım Uzmanı” aranmaktadır.     İş Tanımı  WCF, Web Services ve Rest Api servislerinin geliştirme, iyileştirme ve entegrasyonunu yapmak.  "
"Test Uzmanı"," "," İŞ TANIMI VE GENEL NİTELİKLER     İş Tanımı  • Hata izleme yazılımlarından en az biri hakkında tecrübe sahibi olmak,  • Selenium WebDriver, Cucumber gibi test planlama ve yönetim araçlarından en az birinde tecrübe sahibi olmak, • Test dokümanı, test planı ve test senaryo dokümanı hazırlama konusunda tecrübe sahibi olmak.        Genel Nitelikler  En az 5 (Beş)  yıl çalışma tecrübesine sahip, "
"Teknik Proje Mühendisi","Ankara","Danışmanlığını yürüttüğümüz Bilişim Sistemleri ve Finans-Yatırım sektöründe faaliyet gösteren müşteri firmamız için''Teknik Proje Yöneticisi''arayışımız mevcuttur.  GENEL NİTELİKLER  Üniversitelerin Endüstri Mühendisliği, İşletme Mühendisliği veya Bilgisayar Mühendisliği bölümlerinden mezun, Donanım ve yazılım kuruluşu yapacak düzeyde, işletim sistemi, network bilgisi olan, Network, sunucu ve ağ yönetimi ile ilgili yeterli teknik bilgisi olan, Yazılım, donanım, kurulum, montaj, konfigürasyon konusunda deneyimli, Son kullanıcı desteğinde deneyimli ve kısa sürede çözüm üretebilen, Gelişime açık, farklı teknolojileri öğrenme konusunda istekli, Analitik düşünme, problem çözme yeteneğine ve sorumluluk bilincine sahip, İletişim becerileri yüksek, çözüm odaklı ve iş takibi yapıp sonuçlandırabilen, Yönetim ve planlama becerisine sahip, Erkek adaylar için askerlik hizmetini tamamlamış, Aktif araç kullanan.     İŞ TANIMI "
"Satış Operasyon Uzmanı","İstanbul"," "
"SAP Finans Uzmanı","Ankara","Türkiye'nin önde gelen üniversitelerinin Bilgisayar Mühendisliği, İşletme Mühendisliği, Endüstri Mühendisliği bölümlerinden birinden mezun,   Aşağıda belirtilen alanlarda olmak üzere en az 5 yıl deneyimli;   SAP FI/CO modül deneyimi olan, Tercihen HR-PS-CO-AA modüllerinde bilgi ve tecrübesi olan, İyi derecede İngilizce bilen, B sınıfı ehliyeti olan ve aktif olarak araç kullanabilen, Seyahat engeli bulunmayan, Erkek adaylar için askerliğini tamamlamış, İletişim becerisi yüksek ve ekip çalışmasına yatkın çalışma arkadaşı aramaktayız.  İŞ TANIMI  Şirketimizde kullanılmakta olan SAP R/3 ERP sistemi FI/CO modüllerinde kullanıcı desteği sağlamak, Yeni modül/süreç devreye alma ve değişiklik projelerini yürütmek, Yeni iş uygulamaları devreye alma projelerine liderlik yapmak, Kullanılmakta olan çeşitli iş uygulamalarına destek sağlamak, Yazılım geliştirme projelerini yüretecek, Uygulamalar arası entegrasyonun sağlanmasından sorumlu olmak, "
"ERP Proje Mühendisi"," ","Canias Troia ve SQL sorgulama dilini bilen, Tercihen Endüstri, Makine, Sistem, Bilgisayar Yazılım veya Bilgisayar Mühendisliği bölümlerinden mezun, Esnek çalışma saatlerinde ve yoğun tempoda çalışabilecek, Gelişmiş iletişim ve sunum becerilerine sahip, insan ilişkilerinde başarılı, Ekip çalışmasına yatkın ve analitik düşünme yeteneği gelişmiş, Literatürü İngilizce izleyebilecek, yazılı ve sözlü iletişim kurabilecek,   Erkek adaylar için askerlik hizmetini tamamlamış, Sürücü belgesi olup aktif araç kullanabilen, Seyahat engeli olmayan, KONYA’da ikamet eden veya edebilecek olan, ERP Projesini sahiplenecek ve uzun vadede bizimle beraber çalışacak takım arkadaşları arıyoruz.    İŞ TANIMI  Bu pozisyon genel olarak CANIAS ERP yazılım projelerinde sistem analizi; kurulum, özel uygulama ve fonksiyonların geliştirilmesi, mevcut verilerinin aktarımı ve kullanıcı eğitimlerinin verilmesi gibi faaliyetlerden sorumlu olacaktır.  Canias Troia uyarlama ve yazılım geliştirme projelerinde yer almak, Mevcut iş süreçlerinin ya da sistem analizlerini yaparak CANIAS ERP uyarlama projesi planını hazırlamak ve takip etmek, Konfigürasyon kurulumları ile fonksiyon testlerini yerine getirmek, "
"SAP Bw Bo Uzmanı","İstanbul","İstanbul Maltepe lokasyonunda bulunan Genel Müdürlüğümüzde, Bilgi işlem bölümümüze bağlı olarak görevlendirilmek üzere""SAP BW /MS POWERBI UZMANI"" arayışımız bulunmaktadır.     GENEL NİTELİKLER  Üniversitelerin tercihen Bilgisayar Mühendisliği, Matematik Mühendisliği bölümlerinden mezun, SAP modüllerinde( BW, BO) veMicrosoft PowerBI alanında minimum 2-3 yıl tecrübeli,  Farklı teknolojileri ve entegrasyonları öğrenme konusunda istekli, Çok iyi seviyede İngilizce bilen,  Analitik düşünebilen, araştırmacı, takım çalışmasına yatkın,  İş takibinde proaktif, dokümantasyon hazırlama ile raporlama konusunda başarılı,   İŞ TANIMI İlgili birimler ve anahtar kullanıcılar ile gereksinim analizleri yaparak, ihtiyaçların belirlenmesi, BW sisteminde ihtiyaçlar kapsamında sorgu oluşturulması, BW ortamındaki ""Info provider"" mevcudunun analiz edilmesi, eksiklerinin belirlenmesi, BW ortamında, periyodik üretilen rapor ve verilerin akış kontrolunun yapılması - monitör edilmesi, aksaklıkları belirleyerek ilgili önlemlerin belirlenmesi "
"Yazılım Geliştirme Uzmanı","İstanbul","İŞ TANIMI  Firmamızın Bilgi Teknolojileri Müdürlüğü'ne bağlı olarakproje ihtiyaçlarına uygun yazılım tasarımının oluşturulması,projedeki modüllerin geliştirilmesi ve sorunların çözülmesi , çalışan uygulamaların sürekliliğinin sağlanması, iç müşteriye destek verilmesi     YETKİNLİKLER  Detay Odaklılık Analitik Düşünebilme Zaman Yönetimi Sonuç Odaklılık Problem Çözme İletişim Takım Çalışması       NİTELİKLER "
"Gömülü Yazılım Mühendisi"," "," "
"Yazılım Uzmanı","İstanbul","Genel Nitelikler:  Üniversitelerin Bilgisayar Mühendisliği, Endüstri Mühendisliği veya ilgili bölümlerinden mezun, Kodlama alanında 3 yıl çalışmış, tercihen kodlama teknolojilerinde tecrübeli olmak, Veritabanları (tercihen SQL Server) ve SQL kodlama dilini biliyor olmak, Ticari Uygulamalar temel işleyiş konularında bilgi birikimine sahip olmak, ASp.Net, VB.Net projelerinde Kod geliştirme ortamına hakim olmak, İletişim yetenekleri güçlü, Ekip çalışmasına yatkın, Başarı odaklı, problem çözümünde yaratıcı ve analitik bakış açısını kullanabilen, Erkek adaylar için askerliğini tamamlamış olmak.     İş Tanımı:     "
".Net Yazılım Mühendisi","İstanbul"," "
"İş Analisti","İstanbul","Aranılan Nitelikler;     Üniversitelerin Bilgisayar Mühendisliği, Endüstri Mühendisliği vb. bölümlerinden mezun Çok iyi derecede İngilizce kullanabilen Yurtdışı seyahat engeli bulunmayan Min. 3 yıl İş Analisti olarak tecrübe sahibi Ms Office programlarını etkin kullanabilen Sıkı teslim tarihlerini, geliştirme standartlarını karşılayabilme Üstün organizasyonel, kişiler arası ve iletişim becerileri     Görev Tanımı;  Sektöründe lider, global müşterimizin iş ihtiyaçlarını izleme, talepleri toplama  , analiz etme, raporlama ve  yazılım ekibine aktarma  Business konularda analizinin yapılıp, iş birimlerini dinleyerek, ihtiyaç analizlerinin gerçekleştirilmesi Tüm üst düzey ihtiyaçların karşılandığının tespiti kapsamında hazırlanacak testler için yazılımcı ve kullanıcılarla birlikte kurumsal standartları kullanarak test prosedürlerini belirlemek, kullanıcı kabulu öncesi kontrol testleri yapıp kullanıcı kabul testlerini koordine etmek ve kabul testi sonuçlarını yayınlamak "
"Yazılım Uzmanı ( Ms Dynamics CRM )","İstanbul","2008 yılından itibaren Müşteri İlişkileri Yönetimi alanından çözümler üreten DENİZ CRM aktif devam eden projelerinde görevlendirmek üzere MS Dynamics CRM alanında en az 2 yıl geliştime tecrübesi bulunan yazılım uzmanı aramaktadır. Adaylarda aranan özellikler;     Tercihen üniversitelerin Bilgisayar Mühendisliği, Yazılım Mühendisliği bölümlerinden mezun  En az 2 yıl MS Dynamics CRM geliştirme tecrübesi.  İyi düzeyde .NET , ASP.NET, C#, HTML, JQUERY, AJAX, Java Script bilgisine sahip,  MS SQL Server ve veritabanı yönetimi tecrübesi  Microsoft Dynamics Platformunda uygulama tasarımı, Workflow, Plugin, Javascript konularında tecrübesi olan  Tercihen İngilizce Bilen  Asp.Net web services, WCF, WEB Api konularında tecrübesi olan,  Tercihen Dynamics AX tecrübesi olan "
"Yazılım Test Mühendisi","Eskişehir","Üniversitelerin Elektrik ve Elektronik Mühendisliği, Bilgisayar Mühendisliği veya ilgili bölümlerinden en az lisans derecesi ile mezun,  Savunma ve havacılık sanayiinde benzer pozisyonda asgari 2 yıl tecrübe,  RTCA/DO-178B/C süreçleri konusunda bilgili ve tecrübe, Test yöntemleri konusunda bilgi ve tecrübe, Yazılım test alanında en az 2 yıl tecrübe, C, C++, Java bilgisi, Python, Perl, Javascript bilgisi, SQL bilgisi, Seri haberleşme protokolleri (RS422, RS485, RS232, ARINC429, Ethernet vb.) hakkında bilgi ve tecrübe, Gereksinim tabanlı test geliştirme tecrübesi, Yazılım doğrulama süreçleri konusunda bilgi ve tecrübe,  Entegrasyon testi, birim test konularında tecrübe,  Test otomatizasyonu ve test altyapısı konularında tecrübe, Tercihen ISTQB Foundation Level test sertifikasına sahip, Takım çalışmasına uygun ve iletişim yeteneği yüksek,  İyi derecede İngilizce bilen,  Analitik düşünebilen ve problem çözme yeteneğine sahip.    "
"Yazılım Geliştirme Uzmanı","İstanbul","Checklas; lastik sektörünün kurumsal kanalında faaliyet gösteren, kendi içinde yazılım departmanı barındıran bir firmadır. Lastik satışı ve satış sonrası hizmetlerinde(depolama, değişim, balans, vale, mobil vb.) sektöre birçok yenilik katmaktadır.  Yeni arkadaşlarımızda aranan teknik özellikler;  Üniversitelerin Bilgisayar Mühendisliği, MIS ,Matematik Mühendisliği ve benzeri bölümlerden mezun, C# / ASP.NET MVC ile ""FRONT-END"" uygulama geliştirmede en az 4 yıl deneyimi bulunan , ASP.NET, MVC, Web Api,  Entity Framework gibi teknolojilere hakim, Javascript, Jquery, Css, Html konularında uzman,  Javascript UI kütüphanelerinden herhangi birinin kullanılmış olması tercih sebebi olacaktır.(Angular, React, Vue)  Genel Özellikler;  Sorumluluk sahibi ve sonuç odaklı, Öğrenmeye açık, Esnek saatlere riayet eden, Bahane üretmeyen sorumluluk sahibi, Kod standartlarına azami dikkat eden, Trende göre değil ihtiyaca göre teknoloji seçen, İşi ihtiyaca göre, eksiksiz Solid prensibine uygun ve CleanCode yazan, "
"Yazılım Geliştirme Sorumlusu","İstanbul","ALARKO Şirketler Topluluğu Holding bünyesinde görev almak üzere aşağıdaki özelliklere sahip  ""YAZILIM GELİŞTİRME SORUMLUSU"" aranmaktadır.    Üniversitelerin Bilgisayar, Elektronik, Matematik Mühendisliği veya Bilgisayar Programcılığı bölümlerinden mezun Büyük ölçekli web uygulamalarının tasarımı ve mimarisi, uygulamaların geliştirilmesi ve  güvenliğinin sağlanması konusunda  deneyim sahibi, Araştırmaya ve kendini geliştirmeye açık, En az 4 yıl ve üzeri tecrübeye sahip, İyi derecede İngilizce bilen, Erkek adaylar için askerlik ile ilişkisi olmayan.  İSTENEN YETENEK VE UZMANLIKLAR  WEB Tabanlı Programlama Php C# Java Asp Java Script XML "
"Süreç Geliştirme ve İş Analisti (Merkez)","İstanbul","Yazılım geliştirme süreçlerinde deneyimli ve proje yönetimi bilgisi olan, SQL Server, T-SQL konularında bilgi sahibi, MS-Office uygulamalarında yetkin (Word, Excel, Access), Organizasyon ve iş takibi becerisine sahip, Düzenli raporlama alışkanlığı olan ve dokümantasyona önem veren, Takım çalışmasına yatkın, analitik düşünme ve problem çözme yeteneğine sahip, Sorumluluk sahibi ve gelişime açık, Etkin zaman yönetimi ile yoğun çalışma temposuna ayak uydurabilen, Etkin iletişim kurabilen, Tercihen Avrupa yakasında oturan, Tercihen iyi derecede İngilizce bilen, Erkek adaylar için askerlik hizmetini tamamlamış, Yurtiçi seyahat engeli olmayan adayların başvurularını beklemekteyiz.    İŞ TANIMI Mevcut Muhasebe, Satınalma, Bilgi İşlem ve Mağaza Operasyon birimlerden gelen süreç geliştirme taleplerinde, ilgili birim ile birebir çalışarak ön analiz çalışmalarını yapmak, sistem eksiklerini saptayarak çözümler aramak, Problem yönetim süreci kapsamında kullanıcılar tarafından iletilen problemleri incelemek, kaynağını tespit etmek ve çözüm için ilgili tüm grupları bilgilendirmek, Projeler, geliştirmeler, iyileştirmeler ve düzeltmeler için gereken analizleri yapmak, en uygun çözümü sağlamak üzere  çalışmaların yapılması ve ilgili dokümanların hazırlanması, "
"Mobil Yazılım Geliştirme Uzmanı"," ","May Siber Teknoloji A.Ş. Ankara ofisinde görevlendirilmek üzere ""Mobil Yazılım Geliştirme Uzmanı"" pozisyonunda takım arkadaşları arayışımız bulunmaktadır.     Genel Nitelikler  Üniversitelerin Bilgisayar Mühendisliği, Elektrik Elektronik Mühendisliği, Matematik Mühendisliği, Yazılım Mühendisliği ve benzeri bölümlerden mezun, Tercihen iOS veya Android platformunda uygulama geliştirme konusunda en az 3 yıl deneyime sahip, Android için native kompleks uygulamalar geliştirmiş,push notification, background service konusunda deneyimli, Java/Kotlin programlama dilinde tecrübeli, SOAP/REST mimarisindeki web servisler, JSON/XML veri alışverişi protokolleri ve Android/iOS networking konularında bilgi sahibi, Git ya da benzeri (Mercurial, SVN vb.) yazılım versiyon sistemi kullanmış,  REST mimarisi ve servisleri konusunda deneyim sahibi,  Object Oriented konsepti ve teknolojileri konusunda bilgi sahibi,  Multi-threading programlama konusunda tecrübe sahibi, Android Studio’da Java/Kotlin veya Xcode’da Swift ve Objective-C (opsiyonel) ile uygulama geliştirmiş,  Carthage, CocoaPods veya Gradle kullanarak yazılım kütüphanelerinden faydalanabilen,  Uygulamaların Google Play veya AppStore’da yayınlaması ile ilgili işlemler konusunda tecrübe sahibi, Nesneye yönelik programlama ve tasarım örüntüleri konularına hakim, "
"Aviyonik Sistem Doğrulama Mühendisi"," ","GENEL NİTELİKLER         Üniversitelerin Elektronik Mühendisliği / Bilgisayar Mühendisliği / Havacılık Mühendisliği veya ilgili bölümlerinden mezun olmak,        Sistem Mühendisliği süreçleri konusunda bilgi ve deneyim sahibi olmak,        Sistem Mühendisliği gereçleri ile ilgili bilgi ve deneyim sahibi olmak,        Aviyonik sistemler konusunda bilgi ve deneyim sahibi olmak,        İyi derecede İngilizce bilmek,        Şahıs Güvenlik Belgesi almaya engeli olmamak,        Erkek adaylar için askerlik görevini tamamlamış ya da uzun süre erteletmiş olmak.  TERCİH NEDENİ OLABİLECEK EK NİTELİKLER         DO-178B/C konusunda bilgi ve deneyim sahibi olmak,        Link-16 standartları (STANAG 5516, MIL-STD-6016), operasyonu, simülatörleri, ağ yönetimi, MIDS terminali konularında tecrübeli       MIL-STD-1553, ARINC 429 ve benzeri aviyonik veri yolu protokolleri hakkında bilgi ve deneyim sahibi olmak,        Test terminolojisine ve test süreçlerine hakim, hata takip ve raporlama araçları konusunda deneyim sahibi olmak,        DOORS, JIRA vb. araçlar konusunda deneyim sahibi olmak.  İŞ TANIMI  "
"Java Yazılım Uzmanı","İstanbul","Şirket bünyemizde görevlendirmek üzere Java Yazılım Uzmanı pozisyonu için aşağıdaki özelliklerde takım arkadaşı arayışımız bulunmaktadır.  * Üniversitelerin Bilgisayar Mühendisliği, Bilgisayar Programcılığı, Yönetim ve Bilişim Sistemleri Mühendisliği, Matematik Mühendisliği ya da Matematik ve ilgili diğer bölümlerinden mezun,  * Java, J2EE ve Web Uygulama Geliştirme teknolojilerinde 1-5 yıl arası deneyime sahip,  * Nesne Yönelimli Tasarım/Programlama konusunda tecrübeli,  * Hibernate, EclipseLink gibi ORM yapılarında tecrübeli,  * JSP /JSF (+ Primefaces)/ JavaScript ve Spring, HTML5, CSS  ile dinamik web uygulaması geliştirme alanında tecrübeli,  * Restful API/SOAP web servis yapıları konusunda yeterli tecrübeye sahip,  * Source kontrol araçlarını kullanmış (SVN, CVS, GIT vs...),  * Spring Boot deneyimi bulunan,  * Temel HTML, CSS, Ajax, JavaScript, JQuery bilgi sahibi,  "
"Mobil Uygulama ve Yazılım Geliştirme Uzmanı","İstanbul"," "
"Kıdemli Yazılım ve Donanım Uzmanı","Ankara","UTEST A.Ş. yapı malzemeleri test cihazları üretimi yapan ve bu konularda teknik destek hizmeti veren imalat ve pazarlama firmasıdır. Firmamız yurtiçi ve yurtdışı pazarda; inşaat firmalarına, özel ve kamu Ar-Ge laboratuvarlarına ve üniversitelere ürün ve hizmet sağlamaktadır.    Sincan 1.Organize Sanayi Bölgesi Sincan-Ankara' daki  fabrikamızda görevlendirilmek üzere Kıdemli Yazılım ve Donanım Uzmanı arıyoruz..   Genel Nitelikler  Üniversitelerin  Bilgisayar Mühendisliği veya Elektronik Mühendisliği bölümlerinden mezun, Gömülü Linux ve Linux ortamlarda uygulama geliştirme deneyimi , Qt Framework tabanlı bir uygulama geliştirmiş olmak. Arayüz tasarımı deneyimi, Ağ iletişim protokolleri hakkında bilgi sahibi, HMI tasarımı ve geliştirme tecrübesi olan, Tercihen endüstriyel kontrol sistemleri ile çalışmış, C++ deneyimi, GIT kullanıyor olmak,  İleri düzeyde yazılı ve sözlü  İngilizce bilen, Sunum becerilerine sahip, Esnek çalışma saatlerine uyum sağlayacak, "
"Yazılım Test Mühendisi","İstanbul","Teknopark İstanbul ofisimizde yer alan AR-GE merkezimizde görevlendirilmek üzere YAZILIM TEST MÜHENDİSİ arayışımız bulunmaktadır.     İŞ TANIMI   Test planlarının oluşturulması Test senaryolarının yazılması Test kombinasyonlarının mantıklı şekilde azaltılması Test Otomasyonu için gerekli kodlamanın yapılması Otomasyona uygun test senaryolarının kodlanması Manuel ve otomasyon testlerinin koşturulması Test sonuçlarının raporlanması Test otomasyon araçlarının kullanılması (Selenium, Katalon, Sikuli, Cucumber, NUnit,Appium,vb.) Güncel test otomasyon araçlarının araştırılması Test tekniklerini kullanarak kara kutu testleri tanımlanması Test tekniklerini kullanarak beyaz kutu testleri tanımlanması  "
"Yazılım Uzmanı","İstanbul","Şirketimiz bünyesinde Bilgi Sistemleri Birim Müdürlüğü’nde görev alacak 'Yazılım Uzmanı' ekip arkadaşı aramaktayız.   Üniversitelerin Bilgisayar Mühendisliği, Yazılım Mühendisliği veya benzeri bölümlerinden mezun, 4 yıl ve üzeri IT tecrübesi olan, Asp.net MVC, C#, WebApi, Entity Framework, MicroORM Dapper, Javascript, JQuery, HTML ve CSS konularına hakim, Oracle PL/SQL veri tabanında tecrübeli, Object Oriented Programming konusunda tecrübeli, Design Patterns ve SOLID prensipleri hakkında bilgi sahibi, Microservis mimariler üzerinde bilgi sahibi, Tercihen .Net Core ve Angular konusunda bilgi sahibi, Teknik doküman takip edecek derecede İngilizce bilen, Tercihen yazılım proje yönetim süreçleri ve çevik metodolojiler (Scrum) konusunda bilgi sahibi, Erkek adaylar için askerlik durumu olmayan, Pozitif, enerjisi yüksek, güler yüzlü adaylar aramaktayız.     İş Tanımı: "
"Yazılım Mühendisi"," ","Odağımızda Büyüme Var...  Dünyanın en büyük yakıt istasyonları ekipmanları üreticilerinden biri olarak sektörün yerel liderliği bize yetmiyor.  Kurulduğundan bu yana Teknolojik ve Yenilikçili çalışmaların odağına koymuş MEPSAN,  25. yılında; Türkiye dahil 10 ülkede pazar lideri, 65'in üzerinde ülkeye ihracat yapan bir Türk markasıdır.  Türkiye yakıt ekipmanları pazarının lider tedarikçisi MEPSAN 60.000 m2'lik üretim tesisi ile faaliyetlerini her yıl büyüterek sürdürüyor.  Çeyrek asır önce yola çıktığı ilk günden bu yana gücünü inovasyon,teknoloji,tasarım ve Ar-Ge'den alan MEPSAN, Türkiye'nin sayılı Ar-Ge merkezlerinden biri olan MEPSAN AR-GE MERKEZİile yenilikçi teknolojiler üretmektedir.  Mühendislik ve teknoloji odaklı yaklaşımımızla ürün geliştirmeden, Satış Sonrası hizmetlere entegre ve hızlı çözümlerimizle ülkemizin her yerinde yakıt yönetimine ihtiyaç duyan herkese ulaşmak istiyoruz.  Sektöründe lider, akaryakıt istasyonları için yenilikçi, teknolojik ürünler üreten ve geliştiren, yurtiçi ve yurtdışına yönelik enerji sektöründe faaliyet gösteren firmamızın, Bilgi Teknolojileri  bünyesinde görev alacak''Yazılım Mühendisi ''takım arkadaşları arıyoruz.  GENEL NİTELİKLER  Üniversite Mezunu, (Tercihen Üniversitelerin Bilgisayar Mühendisliği, Yazılım Mühendisliği, Bilişim Sistemleri Mühendisliği veya Elektrik-Elektronik Mühendisliği bölümlerinden mezun), Yazılım projelerinde (Tercihen ödeme sistemleri, Yazarkasa POS sistemleri ) rol almış ve konusunda en az 3 yıl deneyimi bulunan "
"Java Yazılım Uzmanı","Ankara","·        -En az 4 yıllık eğitim veren fakültelerin Bilgisayar Mühendisliği, Yazılım Mühendisliği, Bilgisayar ve Yazılım Mühendisliği, Yönetim Bilişim Sistemleri, Elektronik Mühendisliği, Endüstri Mühendisliği, Endüstri ve Sistem Mühendisliği, Elektronik ve Haberleşme Mühendisliği bölümlerinden mezun olmak, veya yukarıdaki bölümlere denkliği yetkili makamca onaylanan yabancı okullardan mezun olmak,  ·         -Mezuniyet sonrası en az 3 yılı java ile uygulama geliştirdiğini belgelemek ve en az 5 yıllık iş tecrübesine sahip olmak,  ·         -Java konusunda bilgi ve deneyim sahibi ve web projesi geliştirmiş olmak,  ·         -Web servisler, SOAP, REST, WCF gibi teknolojiler hakkında bilgi sahibi olmak,  ·         -Web teknolojileri (HTML, CSS, Javascript, AJAX, JQuery) konularında çalışmış,  ·         -Yazılım yaşam döngüsü ve güvenli yazılım geliştirme konularında bilgi sahibi olmak,  ·         -Veri tabanı tasarımı, optimizasyon ve performans artırımı konusunda tecrübe sahibi olmak,  ·         -İlişkisel veritabanlarında tecrübe sahibi olmak  ·         -Application Server mimarisinde bilgi sahibi olmak tercihen [Tomcat, Jboss, was,Spring Boot]  ·        - TFS, Git gibi versiyonlama sistemleri hakkında bilgi sahibi olmak  "
"Yazılım Uzmanı","Kocaeli","Devam eden ve yeni projelerimizde Yazılım Uzmanı pozisyonunda görev alacak aşağıdaki niteliklere uygun çalışma arkadaşları arıyoruz.      ·        Üniversitelerin ilgili lisans bölümlerinden mezun (Bilgisayar Mühendisliği, Yazılım Mühendisliği, vb.),  ·        En az 3 yıl ortave büyük çaplı projelerde yazılım geliştirme deneyimine sahip,  ·        Visual Studio .NET (C# ve/veya VB.NET) ve ASP.NET ile uygulama geliştirme tecrübesine sahip,  ·        İlişkisel veritabanı yapısı ve kavramları ile ilgili bilgi ve deneyim sahibi,  ·        MS SQL veritabani ile çalışmış, T/SQL tecrübesine sahip,  ·        XML web servisleri, RESTful servisler ve SOAP tabanlı web servisleri kullanan ve geliştiren,  ·        Kendi kodunu test etme alışkanlığına sahip,  "
"İş Analisti","İstanbul"," "
"Yazılım Mühendisi","İstanbul"," "
"SAP ABAP Uzmanı","İstanbul","Genel Nitelikler:  • Üniversitelerin Bilgisayar Mühendisliği, Matematik Mühendisliği, Yazılım Mühendisliği vb. bölümlerinden mezun,   • ABAP programlama dilinde en az iki yıl deneyimli,  • Smart Forms, SAP Script, BADI, BAPI, User- Exit, Enhancement, Batch Input, Idoc, FC, ALE, EDI, ALV konularında bilgili,  • Tercihen S/4 Hana konusunda bilgi sahibi,  • Tercihen C# veya Java da uygulama geliştirmiş olmak,  • Tercihen eBA iş akışı yönetimi uygulamasında tecrübe sahibi,  • Web Servisleri konusunda bilgi sahibi olmak (SOAP, REST, XML-RPC),  • Object Oriented Programlama metadolojilerine hakim olmak,  • Teknolojik yenilikleri takip eden, öğrenmeye ve geliştirmeye açık, "
